Anho,1P,T,Asistencia,Cod.Car.Sec,Cant.Materias,Recursante,Cant. C1,CGF,CIV,IND,MEC,ELE,MCT,ECA,Abandono
2019,0,0,1,CGF-PLS13 ,2,0,1,1,0,0,0,0,0,0,1
2021,0,0,1,CGF-PLS13 ,2,0,1,1,0,0,0,0,0,0,1
2021,0,0,1,CGF-PLS13 ,4,0,1,1,0,0,0,0,0,0,1
2016,9,6,1,CIV-PLS13 ,5,1,1,0,1,0,0,0,0,0,0
2016,19,0,0,ELE-PLS13 ,4,1,1,0,0,0,0,1,0,0,0
2019,23,7,1,ELE-PLS13 ,3,1,2,0,0,0,0,1,0,0,0
2016,18,7,1,ELE-PLS13 ,5,1,1,0,0,0,0,1,0,0,0
2016,16,2,1,ELE-PLS13 ,5,1,1,0,0,0,0,1,0,0,0
2017,20,2,0,ELE-PLS13 ,4,1,1,0,0,0,0,1,0,0,0
2021,0,1,1,ELE-PLS13 ,5,0,7,0,0,0,0,1,0,0,1
2022,0,0,1,ELE-PLS13 ,5,0,7,0,0,0,0,1,0,0,1
2016,16,8,1,MCT-PLS13 ,3,1,1,0,0,0,0,0,1,0,0
2016,0,7,1,CIV-PLS13 ,2,1,1,0,1,0,0,0,0,0,0
2016,11,7,1,ELE-PLS13 ,5,1,1,0,0,0,0,1,0,0,0
2016,16,7,1,CIV-PLS13 ,5,1,1,0,1,0,0,0,0,0,0
2016,20,3,1,ELE-PLS13 ,5,1,1,0,0,0,0,1,0,0,0
2018,11,3,1,ELE-PLS13 ,5,0,2,0,0,0,0,1,0,0,0
2019,22,9,1,ELE-PLS13 ,5,1,2,0,0,0,0,1,0,0,0
2016,20,6,1,CIV-PLS13 ,5,1,1,0,1,0,0,0,0,0,0
2016,8,9,1,CIV-PLS13 ,4,1,1,0,1,0,0,0,0,0,0
2017,20,2,1,CIV-PLS13 ,4,1,1,0,1,0,0,0,0,0,0
2016,18,8,1,IND-PLS13 ,5,1,1,0,0,1,0,0,0,0,0
2017,21,7,1,MCT-PLS13 ,5,1,1,0,0,0,0,0,1,0,0
2016,24,8,1,ELE-PLS13 ,5,1,1,0,0,0,0,1,0,0,0
2016,6,3,1,ELE-PLS13 ,5,1,1,0,0,0,0,1,0,0,0
2017,0,3,0,ELE-PLS13 ,5,1,1,0,0,0,0,1,0,0,0
2016,20,10,1,MEC-PLS13 ,5,1,1,0,0,0,1,0,0,0,0
2021,3,2,1,CIV-PLS13 ,8,0,5,0,1,0,0,0,0,0,0
2022,2,2,1,CIV-PLS13 ,6,0,5,0,1,0,0,0,0,0,0
2016,20,5,1,ELE-PLS13 ,4,1,1,0,0,0,0,1,0,0,0
2016,9,0,0,CIV-PLS13 ,2,1,1,0,1,0,0,0,0,0,0
2016,21,7,1,IND-PLS13 ,5,1,1,0,0,1,0,0,0,0,0
2016,18,0,0,ELE-PLS13 ,2,1,1,0,0,0,0,1,0,0,0
2016,13,7,1,CIV-PLS13 ,5,1,1,0,1,0,0,0,0,0,0
2016,0,0,0,CIV-PLS13 ,2,1,1,0,1,0,0,0,0,0,0
2016,5,6,1,ELE-PLS13 ,5,0,1,0,0,0,0,1,0,0,0
2017,17,3,1,ELE-PLS13 ,5,1,1,0,0,0,0,1,0,0,0
2016,17,0,0,CIV-PLS13 ,5,1,1,0,1,0,0,0,0,0,0
2019,8,1,1,MEC-PLS13 ,5,0,8,0,0,0,1,0,0,0,1
2019,15,2,1,ELE-PLS13 ,4,0,3,0,0,0,0,1,0,0,0
2019,10,4,1,ELE-PLS13 ,4,1,3,0,0,0,0,1,0,0,0
2016,17,0,0,ELE-PLS13 ,4,1,1,0,0,0,0,1,0,0,0
2017,16,3,1,ELE-PLS13 ,5,1,1,0,0,0,0,1,0,0,0
2016,19,7,1,IND-PLS13 ,5,1,1,0,0,1,0,0,0,0,0
2018,7,5,1,MCT-PLS13 ,5,0,2,0,0,0,0,0,1,0,0
2021,12,3,1,ELE-PLS13 ,5,0,7,0,0,0,0,1,0,0,0
2022,13,5,1,ELE-PLS13 ,5,1,7,0,0,0,0,1,0,0,0
2017,17,2,1,MCT-PLS13 ,4,1,1,0,0,0,0,0,1,0,0
2016,18,0,1,ELE-PLS13 ,4,1,1,0,0,0,0,1,0,0,0
2016,24,6,1,CIV-PLS13 ,5,1,1,0,1,0,0,0,0,0,0
2016,16,7,1,CIV-PLS13 ,5,1,1,0,1,0,0,0,0,0,0
2016,12,4,1,ELE-PLS13 ,5,1,1,0,0,0,0,1,0,0,0
2017,0,0,0,ELE-PLS13 ,6,1,1,0,0,0,0,1,0,0,0
2016,12,6,1,CIV-PLS13 ,4,1,1,0,1,0,0,0,0,0,0
2017,15,6,0,CIV-PLS13 ,4,1,1,0,1,0,0,0,0,0,0
2017,22,0,1,ELE-PLS13 ,4,0,2,0,0,0,0,1,0,0,0
2018,18,9,1,ELE-PLS13 ,3,1,2,0,0,0,0,1,0,0,0
2016,5,6,1,ELE-PLS09 ,3,0,1,0,0,0,0,1,0,0,0
2017,17,3,0,ELE-PLS09 ,5,1,1,0,0,0,0,1,0,0,0
2018,18,5,1,IND-PLS13 ,5,1,1,0,0,1,0,0,0,0,0
2017,19,8,1,ECA-PLS13 ,5,1,1,0,0,0,0,0,0,1,0
2016,18,8,1,CIV-PLS13 ,5,1,1,0,1,0,0,0,0,0,0
2016,24,10,1,IND-PLS13 ,5,1,1,0,0,1,0,0,0,0,0
2016,12,5,1,ELE-PLS13 ,5,0,1,0,0,0,0,1,0,0,0
2017,16,5,1,ELE-PLS13 ,2,1,1,0,0,0,0,1,0,0,0
2016,18,4,1,ELE-PLS13 ,5,1,1,0,0,0,0,1,0,0,0
2016,0,0,0,CIV-PLS09 ,6,1,1,0,1,0,0,0,0,0,1
2016,19,6,1,ELE-PLS09 ,5,1,1,0,0,0,0,1,0,0,0
2016,20,4,1,CIV-PLS13 ,5,1,1,0,1,0,0,0,0,0,0
2016,19,7,1,CIV-PLS13 ,5,1,1,0,1,0,0,0,0,0,0
2018,18,5,1,CGF-PLS13 ,4,1,2,1,0,0,0,0,0,0,0
2018,22,7,1,MEC-PLS13 ,4,1,2,0,0,0,1,0,0,0,0
2016,19,6,1,CIV-PLS13 ,3,1,1,0,1,0,0,0,0,0,0
2016,14,7,1,CIV-PLS13 ,5,1,1,0,1,0,0,0,0,0,0
2017,0,0,0,CIV-PLS13 ,5,1,1,0,1,0,0,0,0,0,0
2016,18,7,1,IND-PLS13 ,5,1,1,0,0,1,0,0,0,0,0
2016,16,4,0,MCT-PLS13 ,6,1,1,0,0,0,0,0,1,0,0
2016,14,5,1,CIV-PLS13 ,2,1,1,0,1,0,0,0,0,0,0
2022,0,0,1,MCT-PLS13 ,4,0,6,0,0,0,0,0,1,0,1
2016,8,3,1,ELE-PLS13 ,5,0,1,0,0,0,0,1,0,0,0
2017,5,5,1,ELE-PLS13 ,4,1,1,0,0,0,0,1,0,0,0
2018,11,2,1,ELE-PLS13 ,7,1,1,0,0,0,0,1,0,0,0
2016,12,10,1,IND-PLS13 ,5,1,1,0,0,1,0,0,0,0,0
2016,21,4,1,IND-PLS13 ,5,1,1,0,0,1,0,0,0,0,0
2016,11,3,1,CIV-PLS13 ,3,0,1,0,1,0,0,0,0,0,0
2017,21,6,1,CIV-PLS13 ,3,1,1,0,1,0,0,0,0,0,0
2018,12,2,1,CIV-PLS13 ,4,1,1,0,1,0,0,0,0,0,0
2016,16,7,1,CIV-PLS13 ,5,1,1,0,1,0,0,0,0,0,1
2017,15,0,0,CIV-PLS13 ,2,1,1,0,1,0,0,0,0,0,1
2019,0,0,1,CIV-PLS13 ,4,0,1,0,1,0,0,0,0,0,1
2016,15,8,1,CIV-PLS13 ,5,1,1,0,1,0,0,0,0,0,0
2016,24,10,1,CIV-PLS13 ,5,1,1,0,1,0,0,0,0,0,0
2016,13,3,1,MEC-PLS13 ,5,0,1,0,0,0,1,0,0,0,1
2018,21,7,1,CIV-PLS13 ,3,1,1,0,1,0,0,0,0,0,1
2019,0,0,1,CIV-PLS13 ,3,1,1,0,1,0,0,0,0,0,1
2019,6,5,1,CIV-PLS13 ,4,0,1,0,1,0,0,0,0,0,1
2021,0,2,1,CIV-PLS13 ,4,1,1,0,1,0,0,0,0,0,1
2021,11,2,1,CIV-PLS13 ,6,0,1,0,1,0,0,0,0,0,1
2022,12,2,1,CIV-PLS13 ,6,1,1,0,1,0,0,0,0,0,1
2016,4,4,1,CIV-PLS13 ,5,1,1,0,1,0,0,0,0,0,0
2016,13,3,0,MCT-PLS13 ,4,1,1,0,0,0,0,0,1,0,0
2016,17,8,1,CIV-PLS13 ,5,1,1,0,1,0,0,0,0,0,0
2016,14,7,1,CIV-PLS13 ,3,1,1,0,1,0,0,0,0,0,0
2016,20,4,1,IND-PLS13 ,3,1,1,0,0,1,0,0,0,0,0
2016,12,7,1,CIV-PLS13 ,4,1,1,0,1,0,0,0,0,0,0
2016,16,8,1,CIV-PLS13 ,5,1,1,0,1,0,0,0,0,0,0
2016,12,9,1,CIV-PLS13 ,4,1,1,0,1,0,0,0,0,0,0
2016,14,8,1,CIV-PLS13 ,5,1,1,0,1,0,0,0,0,0,0
2016,10,4,1,CIV-PLS13 ,5,1,1,0,1,0,0,0,0,0,0
2016,13,9,1,ELE-PLS13 ,3,1,1,0,0,0,0,1,0,0,0
2016,5,2,1,IND-PLS13 ,2,1,1,0,0,1,0,0,0,0,0
2017,0,2,1,IND-PLS13 ,2,1,1,0,0,1,0,0,0,0,0
2018,24,3,1,IND-PLS13 ,3,1,1,0,0,1,0,0,0,0,0
2016,9,7,1,CIV-PLS13 ,5,1,1,0,1,0,0,0,0,0,0
2016,13,3,1,CIV-PLS13 ,5,0,2,0,1,0,0,0,0,0,0
2018,14,5,1,CIV-PLS13 ,5,1,2,0,1,0,0,0,0,0,0
2016,15,6,1,ELE-PLS09 ,3,1,1,0,0,0,0,1,0,0,0
2016,0,0,0,ECA-PLS13 ,3,0,1,0,0,0,0,0,0,1,1
2016,9,3,1,CIV-PLS13 ,2,1,1,0,1,0,0,0,0,0,0
2016,11,8,1,CIV-PLS13 ,5,1,1,0,1,0,0,0,0,0,0
2016,7,8,1,CIV-PLS13 ,5,1,1,0,1,0,0,0,0,0,0
2017,0,2,0,CIV-PLS13 ,3,1,1,0,1,0,0,0,0,0,0
2016,12,8,1,ELE-PLS13 ,5,1,1,0,0,0,0,1,0,0,0
2016,0,0,1,CIV-PLS13 ,2,0,3,0,1,0,0,0,0,0,1
2017,0,0,0,CIV-PLS13 ,2,0,3,0,1,0,0,0,0,0,1
2019,16,3,1,CIV-PLS13 ,2,1,3,0,1,0,0,0,0,0,1
2019,10,0,1,CIV-PLS13 ,3,1,3,0,1,0,0,0,0,0,1
2019,0,2,0,MCT-PLS13 ,8,0,2,0,0,0,0,0,1,0,1
2021,0,0,1,ELE-PLS13 ,7,0,2,0,0,0,0,1,0,0,1
2021,7,0,1,ELE-PLS13 ,5,0,2,0,0,0,0,1,0,0,1
2022,21,6,1,MCT-PLS13 ,5,1,2,0,0,0,0,0,1,0,1
2016,5,0,1,CIV-PLS13 ,4,0,1,0,1,0,0,0,0,0,0
2017,17,5,1,ELE-PLS13 ,5,1,1,0,0,0,0,1,0,0,0
2018,0,0,1,ELE-PLS13 ,6,1,1,0,0,0,0,1,0,0,0
2019,20,6,1,ELE-PLS13 ,5,1,1,0,0,0,0,1,0,0,0
2019,19,4,1,CIV-PLS13 ,4,1,1,0,1,0,0,0,0,0,0
2016,14,7,1,ELE-PLS13 ,5,1,1,0,0,0,0,1,0,0,0
2017,21,3,1,MEC-PLS13 ,5,1,1,0,0,0,1,0,0,0,1
2018,21,0,1,MEC-PLS13 ,4,1,1,0,0,0,1,0,0,0,1
2019,9,2,1,MEC-PLS13 ,6,0,1,0,0,0,1,0,0,0,1
2019,9,5,1,MEC-PLS13 ,6,0,1,0,0,0,1,0,0,0,1
2021,7,1,1,MEC-PLS13 ,8,0,1,0,0,0,1,0,0,0,1
2022,0,0,1,MEC-PLS13 ,5,0,1,0,0,0,1,0,0,0,1
2016,18,10,1,IND-PLS13 ,5,1,1,0,0,1,0,0,0,0,0
2016,8,5,1,CIV-PLS13 ,4,1,1,0,1,0,0,0,0,0,0
2017,14,0,0,CIV-PLS13 ,4,1,1,0,1,0,0,0,0,0,0
2016,10,5,1,CIV-PLS13 ,5,0,1,0,1,0,0,0,0,0,1
2017,13,3,1,CIV-PLS13 ,4,0,1,0,1,0,0,0,0,0,1
2018,12,3,1,CIV-PLS13 ,4,0,1,0,1,0,0,0,0,0,1
2019,15,4,1,CIV-PLS13 ,4,0,1,0,1,0,0,0,0,0,1
2019,6,2,1,CIV-PLS13 ,4,0,1,0,1,0,0,0,0,0,1
2021,0,0,1,CIV-PLS13 ,4,0,1,0,1,0,0,0,0,0,1
2021,0,0,1,CGF-PLS13 ,6,0,1,1,0,0,0,0,0,0,1
2016,23,6,1,CIV-PLS13 ,5,1,1,0,1,0,0,0,0,0,0
2016,10,9,1,ELE-PLS13 ,3,1,1,0,0,0,0,1,0,0,0
2016,7,2,0,CIV-PLS13 ,5,0,2,0,1,0,0,0,0,0,0
2017,0,0,1,CIV-PLS13 ,4,0,2,0,1,0,0,0,0,0,0
2018,16,2,1,CIV-PLS13 ,5,1,2,0,1,0,0,0,0,0,0
2019,9,0,1,CIV-PLS13 ,4,1,2,0,1,0,0,0,0,0,0
2019,11,9,1,CIV-PLS13 ,4,1,2,0,1,0,0,0,0,0,0
2016,20,7,1,MCT-PLS13 ,5,1,1,0,0,0,0,0,1,0,0
2019,14,0,1,CIV-PLS13 ,6,0,2,0,1,0,0,0,0,0,1
2019,6,8,1,CIV-PLS13 ,6,0,2,0,1,0,0,0,0,0,1
2016,11,2,1,CIV-PLS13 ,5,0,1,0,1,0,0,0,0,0,1
2017,18,7,1,CIV-PLS13 ,6,0,1,0,1,0,0,0,0,0,1
2017,18,7,1,MEC-PLS13 ,6,1,1,0,0,0,1,0,0,0,1
2017,18,4,1,IND-PLS13 ,3,1,1,0,0,1,0,0,0,0,0
2016,22,9,1,CIV-PLS09 ,3,1,1,0,1,0,0,0,0,0,0
2016,23,8,1,IND-PLS13 ,5,1,1,0,0,1,0,0,0,0,0
2018,23,4,1,CIV-PLS13 ,5,1,1,0,1,0,0,0,0,0,0
2019,0,2,1,CIV-PLS13 ,5,0,3,0,1,0,0,0,0,0,1
2021,8,2,1,CIV-PLS13 ,3,0,3,0,1,0,0,0,0,0,1
